,Global,Euro,G4+em,FI only,Global-equal
1992-01-02,0.6855159335948049,-0.45302718162786976,2.2583840081499162,3.6127162192025364,1.4007127057117037
1992-01-03,0.6605690076414441,-0.4300528721342619,2.308569791937998,3.3664273259708586,1.3656335184122468
1992-01-06,0.7775933924927272,-0.37544710767734724,2.3503022177790247,3.68650192023148,1.3787316338862845
1992-01-07,0.8103985315290636,-0.5333118613223428,2.3947646637959763,3.6920554395528566,1.4908635092122062
1992-01-08,0.726192506262112,-0.5885468517336425,2.2421159705385416,3.6882158382431247,1.5142350869412045
1992-01-09,0.7841520195567998,-0.43020597096732754,2.2806936792690693,3.728882456126207,1.539900014326612
1992-01-10,0.7455721358735234,-0.34672447787148597,2.409927718760142,3.453159286177287,1.551836248708667
1992-01-13,0.6884587695392248,-0.3683521011821327,2.4731580175638066,3.4428909040340385,1.5720362914391997
1992-01-14,0.6496691797205743,-0.331536603902605,2.446488006420856,3.213661266762159,1.5531746858705862
1992-01-15,0.7210512314929034,-0.07390186718158073,2.382405217170205,2.842541446248261,1.5289072184334038
1992-01-16,0.8131960589355473,-0.07101598252349525,2.519433887993006,2.916173463708051,1.6142021594022424
1992-01-17,0.7430097665113529,-0.15417480181584084,2.410540005323432,2.6254305587403524,1.5753134426981514
1992-01-20,0.7157775572790858,-0.15193450980646475,2.458065038851937,2.760239214531367,1.564609188297909
1992-01-21,0.7401363845960435,-0.20440705043053356,2.4628240357979445,2.905728615184863,1.620968175269218
1992-01-22,0.7384655300449149,-0.27436454625592616,2.4936496878923853,2.535171217088335,1.6063145744445664
1992-01-23,0.7978155289961579,-0.3143199955959355,2.5614862154275944,2.4513835945583646,1.6769094587538074
1992-01-24,0.7999266356734099,-0.24361641348618618,2.655054782051241,2.3212402750491434,1.7654573615803915
1992-01-27,0.8665909707432142,-0.0907458326516433,2.756938686040616,1.8578927166924266,1.8296802007478532
1992-01-28,0.8791055771860459,-0.040534952066121815,2.844600584185318,2.3858341535400953,1.849656464576984
1992-01-29,0.8383964622783214,-0.10365038600199844,2.7535367689601906,2.036464041515848,1.8216250055910082
1992-01-30,0.7836905352335135,-0.063369795592814,2.5828335005856706,2.1066261416851972,1.7456169825973127
1992-01-31,0.8703898371854871,0.05647050256234132,2.611547396357465,2.4050065938397824,1.7746888019073654
1992-02-03,0.8593429283487297,0.04821668165528531,2.5303753917888163,2.0704341600605933,1.7088128787609398
1992-02-04,0.8694067420151509,0.12659393969740612,2.555115593686304,2.0760301423322476,1.6989295795777855
1992-02-05,0.8138086471696285,0.13769421760389733,2.626328989855251,2.028580966519058,1.6678227040745002
1992-02-06,0.7747928532667622,0.06954990614234338,2.580592682024896,1.9013038837069511,1.57738858978156
1992-02-07,0.7492465902005282,0.08142926386141619,2.7024611567447328,1.9634601778868515,1.5245072298221307
1992-02-10,0.5912793520991682,0.06722892751097026,2.6537991285218685,1.3858503508283575,1.3428166213538126
1992-02-11,0.6844577990942036,-0.03810573939379655,2.8491121036548956,1.4753888001895539,1.4234058890102554
1992-02-12,0.579018753751023,-0.07385862585515077,2.7635761201936524,1.6964054851403034,1.4010666739223718
1992-02-13,0.565578922101568,0.015326358105846094,2.5960365971037693,1.7505089395019742,1.3140803464133752
1992-02-14,0.5471691348771982,-0.02352238435175523,2.5886816129061976,1.7813132648838441,1.3137425262826994
1992-02-18,0.7143268773267958,0.9258789115401249,2.738369125481024,1.5856855289044658,1.3065076362709982
1992-02-19,0.6261922127915405,0.7454056389172774,2.807255046653084,1.1605622316615316,1.2747516522892008
1992-02-20,0.5348093811933842,0.533049145725038,2.797726652492915,1.5350492809104757,1.1605463096319593
1992-02-21,0.3466945097774059,0.2814938889894247,2.863755688392577,1.5312204859209364,0.911658692808019
1992-02-24,0.35390979297741915,0.30497915739555076,2.7832067158162554,1.5207527115586263,0.9575386425177153
1992-02-25,0.41976186560075956,0.030387626767992948,2.879412164498593,1.1797309757459304,1.011629169084531
1992-02-26,0.4866802468377043,0.1491444734199637,2.737003443611548,1.0633210774316184,1.095882486762016
1992-02-27,0.4623227484720324,0.2586571139005944,2.8543406477208615,1.478060653329691,0.9518819878520303
1992-02-28,0.3431721709515734,0.26939255338345847,2.9452775588323545,1.7968558217790598,0.7884364478178404
